"Time","Alabama Field, PAD District 3 - Gulf Coast (Barrels)","Alaska Field, PAD District 5 - West Coast (Barrels)","Alaska North Slope, PAD District 5 - West Coast (Barrels)","Alaska South Field, PAD District 5 - West Coast (Barrels)","Arizona Field, PAD District 5 - West Coast (Barrels)","Arkansas Field, PAD District 3 - Gulf Coast (Barrels)","California Field, PAD District 5 - West Coast (Barrels)","California Field (Federal Offshore), PAD District 5 - West Coast (Barrels)","Colorado Field, PAD District 4 - Rocky Mountains (Barrels)","Florida Field, PAD District 1 - East Coast (Barrels)","Gulf of Mexico Field (Federal Offshore), PAD District 3 - Gulf Coast (Barrels)","Illinois Field, PAD District 2 - Midwest (Barrels)","Indiana Field, PAD District 2 - Midwest (Barrels)","Kansas Field, PAD District 2 - Midwest (Barrels)","Kentucky Field, PAD District 2 - Midwest (Barrels)","Louisiana Field, PAD District 3 - Gulf Coast (Barrels)","Michigan Field, PAD District 2 - Midwest (Barrels)","Mississippi Field, PAD District 3 - Gulf Coast (Barrels)","Missouri Field, PAD District 2 - Midwest (Barrels)","Montana Field, PAD District 4 - Rocky Mountains (Barrels)","Nebraska Field, PAD District 2 - Midwest (Barrels)","Nevada Field, PAD District 5 - West Coast (Barrels)","New Mexico Field, PAD District 3 - Gulf Coast (Barrels)","New York Field, PAD District 1 - East Coast (Barrels)","North Dakota Field, PAD District 2 - Midwest (Barrels)","Ohio Field, PAD District 2 - Midwest (Barrels)","Oklahoma Field, PAD District 2 - Midwest (Barrels)","Pennsylvania Field, PAD District 1 - East Coast (Barrels)","South Dakota Field, PAD District 2 - Midwest (Barrels)","Tennessee Field, PAD District 2 - Midwest (Barrels)","Texas Field, PAD District 3 - Gulf Coast (Barrels)","Utah Field, PAD District 4 - Rocky Mountains (Barrels)","Virginia Field, PAD District 1 - East Coast (Barrels)","West Virginia Field, PAD District 1 - East Coast (Barrels)","Wyoming Field, PAD District 4 - Rocky Mountains (Barrels)"
"1992",19025000,979179000,15204000,627322000,612119000,10260000,94000,3721000,29787000,5425000,300909000,19303000,3016000,53613000,5479000,143075000,15579000,25182000,143000,,5474000,305488000,69972000,404000,32894000,9197000,101807000,2137000,1557000,501000,650623000,18482000,12000,2068000,22720000
"1993",18677000,923174000,13849000,577495000,563647000,9975000,73000,1880000,29398000,5604000,301118000,17406000,2761000,49625000,4595000,138673000,13799000,22613000,135000,,4868000,293090000,68422000,335000,30915000,8282000,96625000,2036000,1500000,419000,619090000,17448000,12000,2048000,21821000
"1994",18345000,914276000,15543000,568951000,553406000,9568000,65000,1698000,28613000,6093000,313822000,17148000,2492000,46732000,4013000,126484000,12207000,20124000,123000,,4216000,286060000,65846000,299000,27575000,8758000,90973000,2518000,1453000,417000,590735000,16528000,11000,1918000,20661000
"1995",18731000,893753000,15514000,541654000,526139000,8910000,71000,1342000,27977000,5693000,344318000,16190000,2778000,43767000,3492000,122885000,11383000,19910000,120000,,3793000,278977000,64508000,304000,29335000,8258000,87490000,1939000,1344000,383000,559646000,16530000,11000,1948000,19988000
"1996",16868000,857970000,14584000,509999000,495416000,8814000,84000,1058000,24953000,6292000,373644000,15575000,2523000,41789000,3602000,132151000,10837000,19509000,115000,,3541000,282409000,64479000,309000,32317000,8305000,85379000,1692000,1257000,381000,543342000,15919000,13000,1680000,19401000
"1997",14832000,813318000,12234000,472949000,460715000,8429000,82000,980000,25617000,6381000,412168000,16115000,2430000,39835000,2988000,134134000,10053000,21037000,114000,,3337000,285172000,69834000,276000,35832000,8593000,83364000,1321000,1335000,367000,536584000,15526000,10000,1509000,19317000
"1998",12398000,759587000,11802000,428850000,417050000,7998000,78000,799000,22364000,5971000,448388000,13732000,2208000,35541000,2921000,134220000,8994000,22031000,93000,,3174000,283627000,72328000,217000,35562000,6541000,77578000,1980000,1206000,287000,504662000,16483000,5000,1471000,19199000
"1999",11123000,696692000,10917000,383199000,372281000,7150000,66000,706000,18469000,4895000,494064000,12065000,1964000,29046000,2777000,120008000,7836000,17951000,92000,,2663000,273017000,64376000,206000,32882000,5970000,70556000,1471000,1100000,344000,449233000,14937000,8000,1471000,16253000
"2000",10457000,661998000,10590000,355199000,344605000,7154000,59000,621000,18481000,4626000,523250000,12206000,2098000,34463000,3465000,105425000,7907000,19844000,94000,,2957000,271132000,67198000,210000,32719000,6575000,69976000,1500000,1170000,346000,443397000,15428000,9000,1400000,15636000
"2001",9334000,643809000,11500000,351411000,339914000,7592000,59000,572000,16520000,4426000,560485000,10092000,2022000,33942000,2969000,104610000,7375000,19528000,91000,,2922000,260663000,68001000,166000,31691000,6051000,68531000,1620000,1255000,351000,424297000,15920000,11000,1226000,15252000
"2002",8636000,649961000,11303000,359382000,348079000,7252000,63000,553000,20522000,3634000,567420000,11100000,1962000,33380000,2721000,93321000,7218000,19371000,95000,,2782000,257898000,67562000,164000,30803000,5631000,66421000,2324000,1214000,275000,405776000,16990000,25000,1456000,13771000
